Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Vodorobot,,Питьевая вода,"Рихарда Зорге, 11",,450059,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,88001000123,,http://vodorobot.ru,,,https://vk.com/vodorobots,,,,54.750791,55.983638,https://2gis.com/firm/70000001088248212,branch
Vodorobot,,Питьевая вода,,,450071,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,1,88001000123,,http://vodorobot.ru,,,https://vk.com/vodorobots,,,,54.743594,56.026067,https://2gis.com/firm/70000001099317803,branch
Vodorobot,,Питьевая вода,"бульвар Ибрагимова, 21",внутри супермаркета Пятёрочка,450006,Айгуль м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,88001000123,,http://vodorobot.ru,,,https://vk.com/vodorobots,,,,54.743714,55.953859,https://2gis.com/firm/70000001099669207,branch
Vodorobot,,Питьевая вода,"Комсомольская, 31 к1",,450037,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,88001000123,,http://vodorobot.ru,,,https://vk.com/vodorobots,,,,54.747106,55.999646,https://2gis.com/firm/70000001100563590,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Школьный переулок, 33/1",,450018,,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.5,2,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.703286,55.945858,https://2gis.com/firm/70000001047245075,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Братьев Кадомцевых, 1а",,450059,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.752203,55.989455,https://2gis.com/firm/70000001087889685,branch
Урал-аква,водомат,Питьевая вода,"Бакалинская, 68а",,450022,Зелёная роща м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.7,3,89378577727 (единый номер: круглосуточно),,,,,,https://wa.me/79378577727,,,54.721315,55.986615,https://2gis.com/firm/70000001056712099,branch
Урал-аква,водомат,Питьевая вода,"проспект Октября, 40/1а",,450009,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.2,11,89378577727 (единый номер: круглосуточно),,,,,,https://wa.me/79378577727,,,54.750487,56.000386,https://2gis.com/firm/70000001059790470,branch
Водомир,водомат,Питьевая вода,"Генерала Горбатова, 7",,450022,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,1,83472660157,,http://vodomir.su,,,,https://wa.me/79272360157,,,54.717285,56.011378,https://2gis.com/firm/70000001046193693,branch
Водомир,водомат,Питьевая вода,"Гоголя, 79",1 этаж,450052,,Ленинский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89272360157,,http://vodomir.su,,,,,,,54.733911,55.940268,https://2gis.com/firm/70000001030891762,branch
Водомир,водомат,Питьевая вода,"Дуванский бульвар, 22/1",,450106,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.5,2,89272360157,,http://vodomir.su,,,,,,,54.706993,55.995274,https://2gis.com/firm/70000001045833925,branch
Водомир,водомат,Питьевая вода,"Казанская, 14",1 этаж,450097,Северный-Посадский м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89272360157,,http://vodomir.su,,,https://vk.com/vodomirsu,,,,54.739951,56.001382,https://2gis.com/firm/70000001039876685,branch
Водомир,водомат,Питьевая вода,"Карла Маркса, 53/1",1 этаж,450015,,Ленинский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.1,5,89272360157,,http://vodomir.su,,,https://vk.com/vodomirsu,,,,54.732785,55.942982,https://2gis.com/firm/70000001028983436,branch
Водомир,водомат,Питьевая вода,"Комсомольская, 106",,450037,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.4,1,89272360157,,http://vodomir.su,,,,,,,54.751305,56.006531,https://2gis.com/firm/70000001031560619,branch
Водомир,водомат,Питьевая вода,"Комсомольская, 94",,450037,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,,+05:00,3.2,1,89272360157,,http://vodomir.su,,,,,,,54.748947,56.00355,https://2gis.com/firm/70000001046242423,branch
Водомир,водомат,Питьевая вода,"Менделеева, 120",1 этаж,450106,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.3,7,83472660157,,http://vodomir.su,,,https://vk.com/vodomirsu,,,,54.712377,55.99526,https://2gis.com/firm/70000001045691759,branch
Водомир,водомат,Питьевая вода,"Минигали Губайдуллина, 11",1 этаж,450022,Зелёная роща м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.1,2,83472660157,,http://vodomir.su,,,,,,,54.71943,56.000079,https://2gis.com/firm/70000001040288592,branch
Водомир,водомат,Питьевая вода,"Минигали Губайдуллина, 17",1 этаж,450022,Зелёная роща м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,2,89272360157,,http://vodomir.su,,,,,,,54.721598,55.996433,https://2gis.com/firm/70000001035345521,branch
Водомир,водомат,Питьевая вода,"Минигали Губайдуллина, 21/3",,450022,Зелёная роща м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.7,3,89272360157,,http://vodomir.su,,,https://vk.com/vodomirsu,,,,54.721662,55.989919,https://2gis.com/firm/70000001042616719,branch
Водомир,водомат,Питьевая вода,"Рабкоров, 4/4",,450106,Урал м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,2,89272360157,,http://vodomir.su,,,https://vk.com/vodomirsu,,,,54.701979,55.990311,https://2gis.com/firm/70000001052488599,branch
Водомир,водомат,Питьевая вода,"Революционная, 96/5",1 этаж,450078,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.9,6,89272360157,,http://vodomir.su,,,https://vk.com/vodomirsu,,,,54.729108,55.984839,https://2gis.com/firm/70000001032356871,branch
Водомир,водомат,Питьевая вода,"Салавата, 15",1 этаж,450057,,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.6,4,89272360157,,http://vodomir.su,,,,,,,54.713071,55.953531,https://2gis.com/firm/70000001040127565,branch
Водомир,водомат,Питьевая вода,"Софьи Перовской, 15/2",,450103,Урал м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.5,1,89272360157,,http://vodomir.su,,,,,,,54.699181,55.990589,https://2gis.com/firm/70000001028983433,branch
Водомир,водомат,Питьевая вода,"Софьи Перовской, 38",,450062,Южный м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.7,1,89272360157,,http://vodomir.su,,,https://vk.com/vodomirsu,,,,54.698734,55.982988,https://2gis.com/firm/70000001032356885,branch
Водомир,водомат,Питьевая вода,"Софьи Перовской, 42/2",,450062,Южный м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,1,89272360157,,http://vodomir.su,,,,,,,54.697381,55.985009,https://2gis.com/firm/70000001034727564,branch
Водомир,водомат,Питьевая вода,"Степана Злобина, 5/3",,450022,Зелёная роща м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,2,89272360157,,http://vodomir.su,,,,,,,54.719781,55.994026,https://2gis.com/firm/70000001035397972,branch
Водомир,водомат,Питьевая вода,"Степана Злобина, 6",,450022,Зелёная роща м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.3,4,89272360157,,http://vodomir.su,,,,,,,54.71776,55.995861,https://2gis.com/firm/70000001030254888,branch
Водомир,водомат,Питьевая вода,"бульвар Хадии Давлетшиной, 18",1 этаж,450097,Молодёжный м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,2,89272360157,,http://vodomir.su,,,,,,,54.736044,55.990715,https://2gis.com/firm/70000001057538747,branch
Водомир,водомат,Питьевая вода,"Цюрупы, 156/2",,450006,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.0,2,89272360157,,http://vodomir.su,,,,,,,54.74396,55.964789,https://2gis.com/firm/70000001029921531,branch
Водомир,водомат,Питьевая вода,"Менделеева, 128 к1",,450106,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.0,5,89272360157,,http://vodomir.su,,,,,,,54.713236,56.001046,https://2gis.com/firm/70000001060467348,branch
Водомир,водомат,Питьевая вода,"Кавказская, 17/1",,450103,,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,1,89272360157,,http://vodomir.su,,,,,,,54.707189,55.974994,https://2gis.com/firm/70000001060751457,branch
Водомир,водомат,Питьевая вода,"Бакалинская, 70",,450022,Зелёная роща м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,4,89272360157,,http://vodomir.su,,,,,,,54.721343,55.986086,https://2gis.com/firm/70000001062411906,branch
Водомир,водомат,Питьевая вода,"Степана Кувыкина, 39",,450106,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,1,89272360157,,http://vodomir.su,,,,,,,54.71113,55.999127,https://2gis.com/firm/70000001098515481,branch
Водомир,водомат,Питьевая вода,"Пархоменко, 133/1",,450006,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.7,6,83472360157,,http://vodomir.su,,,https://vk.com/vodomirsu,,,,54.742501,55.965493,https://2gis.com/firm/70000001040023196,branch
Водомир,водомат,Питьевая вода,"Бехтерева, 16",,450047,Дружба м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89272360157,,http://vodomir.su,,,,,,,54.713941,55.972781,https://2gis.com/firm/70000001100328783,branch
Сила Урала,пункт продажи воды,Питьевая вода,"Гафури, 21/2а",,450093,,Ленинский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,5,89279305005,,,,,,,,,54.725892,55.927699,https://2gis.com/firm/70000001060650379,branch
Ахлыстинский родник,,Питьевая вода,"Рабочая, 42/1",,450003,Нижегородка м-н,Ленинский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,,,,,,,,,,54.745112,55.915616,https://2gis.com/firm/70000001065391599,branch
Водомат,,Питьевая вода,"бульвар Хадии Давлетшиной, 24/1",,450097,Молодёжный м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,,,,,,,,,,54.734623,55.992634,https://2gis.com/firm/70000001038358200,branch
Матур су,водомат,Питьевая вода,"Степана Кувыкина, 18/1а",1 этаж,450092,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.1,4,89378577727,,,,,,,,,54.707301,55.999337,https://2gis.com/firm/70000001075038442,branch
Матур су,водомат,Питьевая вода,"Революционная, 31 к1",,450015,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.3,3,89378577727,,,,,,,,,54.737265,55.944031,https://2gis.com/firm/70000001080241043,branch
Матур су,водомат,Питьевая вода,"Рихарда Зорге, 43/1а",,450083,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.0,2,89378577727,,,,,,,,,54.761337,55.995253,https://2gis.com/firm/70000001084421470,branch
Матур су,водомат,Питьевая вода,"Рихарда Зорге, 31Б",,450059,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89378577727,,,,,,,,,54.755414,55.991808,https://2gis.com/firm/70000001088961933,branch
Матур су,водомат,Питьевая вода,"Кирова, 39Б",,450077,,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,1,89378577727,,,,,,,,,54.729913,55.958453,https://2gis.com/firm/70000001090220840,branch
Матур су,водомат,Питьевая вода,"Братьев Кадомцевых, 11 к2",,450059,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89378577727,,,,,,,,,54.75198,55.993984,https://2gis.com/firm/70000001095664751,branch
Чистая вода,автомат питьевой воды,Питьевая вода,"Бакалинская, 19",,450047,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,2,88002508001 (техническая поддержка),,http://aquacapital.ru,,,,,https://t.me/Elya0139,,54.716829,55.988364,https://2gis.com/firm/70000001088049610,branch
Чистая вода,автомат питьевой воды,Питьевая вода,"Рабкоров, 7а",,450092,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,88002508001 (техническая поддержка),,http://aquacapital.ru,,,,,https://t.me/Elya0139,,54.703335,56.001748,https://2gis.com/firm/70000001092797916,branch
Чистая вода,водомат,Питьевая вода,"Караидельская, 54/1",1 этаж,450047,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89373003764,,,,,,https://wa.me/79373003764,,,54.714468,55.989881,https://2gis.com/firm/70000001079019091,branch
Третий кран,водомат,Питьевая вода,"Революционная, 34/1",,450077,,Ленинский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,5,89279501619,,,,,,,,,54.734101,55.955916,https://2gis.com/firm/70000001036445994,branch
Матур СУ,,Питьевая вода,,,450022,Зелёная роща м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,1,,,,,,,,,,54.721312,55.987899,https://2gis.com/firm/70000001080883631,branch
Артезианская вода,водомат,Питьевая вода,,,450022,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,1,,,,,,,,,,54.717809,56.010672,https://2gis.com/firm/70000001081025657,branch
Урал аква,водомат,Питьевая вода,,,450078,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,,,,,,,,,,54.732732,55.985863,https://2gis.com/firm/70000001080147813,branch
Урал аква,водомат,Питьевая вода,"Айская, 76",,450078,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.7,2,,,,,,,,,,54.73322,55.980124,https://2gis.com/firm/70000001080147823,branch
Чистая вода,водомат,Питьевая вода,"Рихарда Зорге, 44",,450083,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,4,89631320908,,,,,,,,,54.759357,55.99884,https://2gis.com/firm/70000001085368277,branch
Родная вода,пункт продажи воды,Питьевая вода,"Комсомольская, 15 к1",,450001,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89962926706,,,,,,,,,54.741155,55.99173,https://2gis.com/firm/70000001089728373,branch
Аква Капитал,водомат,Питьевая вода,"Менделеева, 7/3",,450047,Дружба м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89535523055,88002508001,http://aquacapital.ru,,,,,,,54.711093,55.97313,https://2gis.com/firm/70000001090349105,branch
Аква Капитал,водомат,Питьевая вода,,,450097,Молодёжный м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,89535523055,88002508001,http://aquacapital.ru,,,,,,,54.734496,55.998844,https://2gis.com/firm/70000001090349190,branch
Чистая питьевая вода,,Питьевая вода,,,450006,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,1,,,,,,,,,,54.738104,55.970173,https://2gis.com/firm/70000001094453845,branch
Автомат чистой питьевой воды,,Питьевая вода,,,450006,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,,,,,,,,,,,,54.738759,55.96921,https://2gis.com/firm/70000001094631159,branch
Водомат,,Питьевая вода,,,450077,,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,1,89174489763,,http://alivewater.ru,,,https://vk.com/alivewater_ru,,,,54.731499,55.96258,https://2gis.com/firm/70000001059777200,branch
Водомат,,Питьевая вода,"Степана Халтурина, 46Б",,450059,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,3,89174489763,,http://alivewater.ru,,,https://vk.com/alivewater_ru,,,,54.746199,55.988694,https://2gis.com/firm/70000001059781244,branch
